	ESC_WT.bam	Copies	length	RPK	TPM
REF_NM_001256117	5294	1	49203	107.5950653	30.67038479
REF_NM_030700	852	1	7919	107.5893421	30.66875336
REF_NM_146202	271	1	2520	107.5396825	30.65459771
REF_NM_172826	925	1	8602	107.5331318	30.65273041
REF_NM_011672	2469	1	22968	107.4973877	30.6425414
REF_NM_028544	1242	1	11556	107.4766355	30.63662592
REF_NM_175438	2880	1	26798	107.4707068	30.63493591
REF_NM_011815	9212	1	85762	107.4135398	30.61864024
REF_NM_007610	1882	1	17524	107.3955718	30.61351839
REF_NM_027191	3366	1	31404	107.1837982	30.55315153
REF_NM_001017983	1736	1	16201	107.1538794	30.54462305
REF_NM_027338	2754	1	25738	107.001321	30.5011357
REF_NM_145633	5670	1	52991	106.9993018	30.50056011
REF_NM_001164799	5070	1	47401	106.9597688	30.48929108
REF_NM_001301643	6165	1	57663	106.9143125	30.47633359
REF_NM_145568	1422	1	13301	106.9092549	30.47489192
REF_NM_173423	2284	1	21366	106.8988112	30.47191489
REF_NM_133835	2651	1	24803	106.882232	30.46718892
REF_NM_134136	4776	1	44685	106.8815039	30.46698137
REF_NM_001038593	1104	1	10330	106.8731849	30.46461001
REF_NM_001164177	884	1	8287	106.6731024	30.40757575
REF_NM_030014	6068	1	56896	106.6507312	30.40119872
REF_NM_019924	1231	1	11544	106.6354816	30.39685179
REF_NM_013717	827	1	7756	106.6271274	30.39447038
REF_NM_177588	990	1	9286	106.6121042	30.39018797
REF_NM_007875	720	1	6756	106.5719361	30.37873788
REF_NM_153423	7206	1	67698	106.4433218	30.3420759
REF_NM_172624	3427	1	32208	106.4021361	30.33033576
REF_NM_133352	5655	1	53163	106.3709723	30.32145239
REF_NM_001037761	10518	1	98922	106.3261964	30.30868885
REF_NM_011806	4561	1	42909	106.2947167	30.29971545
REF_NM_175145	1359	1	12790	106.2548866	30.28836173
REF_NM_016778	1083	1	10196	106.2181248	30.27788261
REF_NM_172517	3005	1	28299	106.1874978	30.26915228
REF_NM_001017968	2807	1	26438	106.1729329	30.2650005
REF_NM_001045525	184	1	1735	106.0518732	30.23049197
REF_NM_020293	153	1	1443	106.029106	30.2240021
REF_NM_033568	1324	1	12489	106.0132917	30.21949417
REF_NM_025285	5516	1	52078	105.918046	30.19234402
REF_NM_022417	1502	1	14189	105.8566495	30.17484272
REF_NM_144916	453	1	4280	105.8411215	30.17041639
REF_NM_027419	384	1	3629	105.8142739	30.16276339
REF_NM_011992	1823	1	17239	105.7485933	30.14404088
REF_NM_009006	1529	1	14460	105.7399723	30.14158344
REF_NM_027251	355	1	3358	105.7176891	30.13523152
REF_NR_130962	2050	1	19410	105.615662	30.10614831
REF_NM_007408	1425	1	13495	105.5946647	30.10016294
REF_NM_053159	2555	1	24209	105.5392623	30.08437026
REF_NM_172807	2502	1	23723	105.4672681	30.06384804
REF_NM_001161823	4539	1	43040	105.4600372	30.06178685
REF_NM_133774	1307	1	12396	105.4372378	30.05528781
REF_NM_001167921	4764	1	45260	105.2585064	30.00433974
REF_NM_011065	1158	1	11002	105.2535903	30.00293837
REF_NM_001168589	1098	1	10437	105.2026444	29.98841607
REF_NM_008989	745	1	7083	105.1814203	29.98236605
REF_NM_001033383	1350	1	12848	105.0747198	29.95195066
REF_NM_001081119	1517	1	14438	105.0699543	29.95059223
REF_NM_016684	996	1	9483	105.0300538	29.93921844
REF_NM_009922	1047	1	9969	105.0255793	29.93794297
REF_NM_013864	863	1	8218	105.0133853	29.93446701
REF_NM_177411	2004	1	19086	104.9984282	29.93020344
REF_NM_001289582	4380	1	41725	104.9730377	29.9229658
REF_NM_019715	6175	1	58866	104.8992627	29.90193595
REF_NM_011542	2826	1	26943	104.8880971	29.89875314
REF_NM_145840	691	1	6589	104.871756	29.89409504
REF_NM_145604	2922	1	27864	104.8664944	29.89259521
REF_NM_026077	762	1	7267	104.8575753	29.8900528
REF_NM_028933	2466	1	23522	104.838024	29.88447961
REF_NM_020618	2303	1	21970	104.824761	29.88069896
REF_NM_178357	1196	1	11412	104.8019628	29.87420025
REF_NM_008212	4051	1	38682	104.7257122	29.85246471
REF_NM_015774	3715	1	35486	104.6891732	29.84204913
REF_NM_001080935	237	1	2264	104.6819788	29.83999834
REF_NM_026675	316	1	3019	104.6704207	29.83670365
REF_NM_026065	2210	1	21122	104.6302433	29.82525095
REF_NM_001033192	654	1	6252	104.6065259	29.8184902
REF_NM_001290996	3835	1	36666	104.5928108	29.81458065
REF_NM_028840	3234	1	30922	104.5857318	29.81256277
REF_NM_013814	8518	1	81473	104.5499736	29.80236975
REF_NM_011162	1838	1	17588	104.5030703	29.78899978
REF_NM_016903	1930	1	18469	104.4994315	29.78796252
REF_NM_146234	1296	1	12408	104.4487427	29.77351351
REF_NM_178907	3650	1	34951	104.431919	29.76871783
REF_NM_028005	188	1	1802	104.3285239	29.73924465
REF_NM_016681	3559	1	34117	104.3174957	29.73610103
REF_NM_177342	1641	1	15732	104.3096873	29.73387521
REF_NM_030114	7725	1	74085	104.2721199	29.72316648
REF_NM_001146687	2816	1	27012	104.249963	29.71685057
REF_NM_145964	3150	1	30228	104.2080191	29.7048943
REF_NM_133954	1586	1	15230	104.1365726	29.6845282
REF_NM_145621	1433	1	13772	104.0516991	29.6603347
REF_NM_008671	271	1	2606	103.9907905	29.64297246
REF_NM_001167799	1478	1	14219	103.9454251	29.6300409
REF_NM_153144	3989	1	38378	103.9397572	29.62842522
REF_NM_001044741	1269	1	12209	103.9397166	29.62841366
REF_NM_011502	4601	1	44286	103.8928781	29.61506217
REF_NM_001164679	1044	1	10049	103.8909344	29.61450811
REF_NM_133718	2544	1	24490	103.8791343	29.61114445
REF_NM_001142701	1537	1	14800	103.8513514	29.60322481
REF_NM_026386	4619	1	44496	103.8070838	29.59060617
REF_NM_001282443	601	1	5790	103.7996546	29.58848844
REF_NM_001033320	753	1	7260	103.7190083	29.5654999
REF_NM_175521	936	1	9036	103.5856574	29.52748772
REF_NM_134077	6506	1	62809	103.5838813	29.52698144
REF_NM_026891	1591	1	15364	103.553762	29.51839584
REF_NM_028888	944	1	9120	103.5087719	29.50557123
REF_NM_028150	1262	1	12194	103.4935214	29.50122401
REF_NM_198654	2229	1	21538	103.4915034	29.50064877
REF_NM_145513	2553	1	24673	103.4734325	29.49549759
REF_NM_025494	3159	1	30541	103.4347271	29.48446447
REF_NM_029020	1633	1	15792	103.4067882	29.47650039
REF_NM_016715	443	1	4285	103.3838973	29.46997525
REF_NM_013735	7915	1	76573	103.365416	29.46470708
REF_NM_126165	1491	1	14431	103.3192433	29.45154537
REF_NM_026623	1822	1	17637	103.3055508	29.44764228
REF_NM_144521	4418	1	42807	103.2074193	29.41966953
REF_NM_144885	939	1	9109	103.0848611	29.38473384
REF_NM_026614	930	1	9022	103.0813567	29.38373488
REF_NM_008317	328	1	3182	103.079824	29.38329799
REF_NM_153548	4343	1	42156	103.0221084	29.36684592
REF_NM_026040	2580	1	25046	103.0104608	29.36352573
REF_NM_029353	1125	1	10923	102.9936831	29.35874318
REF_NM_001313698	3258	1	31638	102.9774322	29.35411081
REF_NM_153515	2498	1	24260	102.9678483	29.35137889
REF_NM_025465	1045	1	10162	102.8340878	29.31324993
REF_NM_175554	3796	1	36924	102.8057632	29.3051759
REF_NM_030678	2238	1	21779	102.759539	29.29199952
REF_NM_009144	821	1	7994	102.7020265	29.27560537
REF_NM_031494	1690	1	16461	102.6669097	29.26559517
REF_NM_175460	16849	1	164161	102.6370453	29.25708223
REF_NM_025717	966	1	9416	102.5913339	29.24405201
REF_NM_182994	2762	1	26924	102.5850542	29.24226197
REF_NM_001109992	6243	1	60865	102.5712643	29.23833109
REF_NM_008517	3231	1	31501	102.5681724	29.23744975
REF_NM_031863	1179	1	11497	102.5484909	29.23183946
REF_NM_023755	5866	1	57224	102.5094366	29.22070687
REF_NM_019676	2252	1	21975	102.480091	29.2123418
REF_NM_199470	960	1	9373	102.42185	29.19573998
REF_NM_010620	6929	1	67653	102.4197005	29.19512727
REF_NM_012042	7354	1	71816	102.4005793	29.18967667
REF_NR_004843	1384	1	13523	102.3441544	29.17359255
REF_NM_146018	1906	1	18632	102.2971232	29.16018614
REF_NM_007456	1763	1	17248	102.2147495	29.1367052
REF_NM_001081081	7130	1	69783	102.1738819	29.12505572
REF_NM_175111	5930	1	58077	102.105825	29.10565585
REF_NM_008004	619	1	6064	102.0778364	29.09767759
REF_NM_026370	1352	1	13246	102.068549	29.09503018
REF_NM_008467	5599	1	54872	102.037469	29.08617071
REF_NM_027590	3618	1	35482	101.9671946	29.06613873
REF_NM_001284272	3844	1	37702	101.9574558	29.06336265
REF_NM_029545	917	1	8995	101.9455253	29.0599618
REF_NM_145538	1867	1	18320	101.9104803	29.04997211
REF_NM_019773	2304	1	22616	101.8747789	29.03979528
REF_NM_199301	1347	1	13223	101.8679573	29.03785076
REF_NR_001460	28	1	275	101.8181818	29.02366206
REF_NM_001252082	1636	1	16068	101.8172766	29.02340401
REF_NM_028184	605	1	5944	101.7833109	29.01372197
REF_NM_007596	957	1	9412	101.678708	28.98390452
REF_NM_175107	2929	1	28809	101.6696171	28.98131312
REF_NM_010508	2573	1	25308	101.6674569	28.98069735
REF_NM_025280	1229	1	12090	101.6542597	28.97693543
REF_NM_001285945	15130	1	148869	101.6329793	28.97086938
REF_NM_133984	1145	1	11269	101.6061762	28.96322905
REF_NM_133665	3019	1	29720	101.5814266	28.95617409
REF_NM_007379	2018	1	19866	101.58059	28.95593559
REF_NM_022004	2638	1	25975	101.5591915	28.94983588
REF_NM_001081016	5222	1	51422	101.551865	28.94774742
REF_NM_153176	3274	1	32244	101.5382707	28.94387232
REF_NM_001081162	1361	1	13412	101.4762899	28.92620445
REF_NM_027351	1470	1	14494	101.4212778	28.91052304
REF_NR_104353	1577	1	15550	101.414791	28.90867396
REF_NM_029402	5423	1	53476	101.4099783	28.90730208
REF_NM_001164366	2111	1	20829	101.3490806	28.88994296
REF_NM_026877	3696	1	36474	101.332456	28.88520405
REF_NM_001174155	1927	1	19023	101.2984282	28.87550431
REF_NM_025272	2355	1	23251	101.2859662	28.87195196
REF_NM_027978	1978	1	19531	101.2748963	28.86879645
REF_NM_145494	4590	1	45353	101.2060944	28.8491842
REF_NM_030131	1828	1	18064	101.1957484	28.84623504
REF_NM_177472	2282	1	22573	101.0942276	28.81729614
REF_NM_028347	382	1	3779	101.0849431	28.81464956
REF_NM_028794	1871	1	18515	101.0532001	28.80560109
REF_NM_001110147	3924	1	38851	101.0012612	28.79079572
REF_NM_028131	1996	1	19764	100.9917021	28.78807085
REF_NM_023894	270	1	2674	100.9723261	28.78254765
REF_NM_001170591	1879	1	18626	100.8804896	28.75636931
REF_NM_148948	6476	1	64211	100.8549937	28.7491016
REF_NM_026141	2982	1	29670	100.5055612	28.64949452
REF_NM_029885	3634	1	36175	100.4561161	28.63540002
REF_NR_033629	659	1	6564	100.3960999	28.61829218
REF_NM_027014	2177	1	21687	100.3827178	28.61447754
REF_NM_008908	1171	1	11667	100.3685609	28.61044207
REF_NM_175265	2782	1	27731	100.3209405	28.59686768
REF_NM_198103	743	1	7407	100.3105171	28.59389646
REF_NM_080850	3345	1	33352	100.2938355	28.5891413
REF_NM_022408	1067	1	10640	100.2819549	28.5857547
REF_NM_198295	3318	1	33114	100.1993115	28.56219687
REF_NM_011801	8594	1	85838	100.1188285	28.53925489
REF_NM_001024458	5866	1	58592	100.1160568	28.53846481
REF_NM_001159383	2022	1	20209	100.0544312	28.5208982
REF_NM_026609	1117	1	11168	100.0179083	28.51048721
REF_NM_026342	3566	1	35655	100.0140233	28.50937977
REF_NM_178878	3667	1	36677	99.98091447	28.49994197
REF_NM_172573	1223	1	12239	99.92646458	28.48442082
REF_NM_172135	335	1	3353	99.91052789	28.47987801
REF_NM_027556	8496	1	85064	99.87773911	28.47053144
REF_NM_001162913	738	1	7390	99.864682	28.46680946
REF_NM_001252575	1130	1	11317	99.84978351	28.46256259
REF_NM_175106	526	1	5268	99.84813971	28.46209402
REF_NM_138315	1070	1	10717	99.84137352	28.46016529
REF_NM_027121	4450	1	44584	99.8115916	28.45167584
REF_NM_001162493	729	1	7304	99.80832421	28.45074446
REF_NM_001033375	5240	1	52533	99.7468258	28.4332141
REF_NM_021525	4232	1	42469	99.64915585	28.40537291
REF_NM_010303	3843	1	38576	99.62152634	28.39749701
REF_NM_153143	271	1	2722	99.55914769	28.37971574
REF_NM_207633	1118	1	11240	99.46619217	28.35321841
REF_NM_054093	4034	1	40560	99.45759369	28.35076738
REF_NM_175836	11970	1	120378	99.43677416	28.3448327
REF_NM_001081062	296	1	2977	99.42895532	28.34260391
REF_NM_213733	1228	1	12352	99.41709845	28.33922406
REF_NM_011767	6719	1	67600	99.39349112	28.3324947
REF_NM_017475	1944	1	19565	99.36110401	28.32326263
REF_NM_001289468	594	1	5983	99.28129701	28.30051334
REF_NM_001033219	4413	1	44454	99.2711567	28.29762281
REF_NM_153116	2185	1	22045	99.11544568	28.25323679
REF_NM_025444	1027	1	10370	99.03567985	28.23049923
REF_NM_001100451	2836	1	28644	99.00851836	28.22275674
REF_NM_145828	1350	1	13647	98.92284018	28.19833385
REF_NM_178363	7337	1	74195	98.88806523	28.18842112
REF_NM_026529	682	1	6897	98.88357257	28.18714047
REF_NM_025960	733	1	7417	98.82701901	28.17101966
REF_NM_026795	839	1	8497	98.74073202	28.14642322
REF_NM_177730	2858	1	28953	98.71170518	28.13814901
REF_NR_028298	102	1	1034	98.64603482	28.11942942
REF_NM_001025312	866	1	8783	98.59956735	28.10618369
REF_NM_026693	1204	1	12213	98.58347662	28.10159697
REF_NM_001025594	1798	1	18245	98.54754727	28.09135517
REF_NM_133703	1559	1	15820	98.54614412	28.0909552
REF_NM_009466	2229	1	22621	98.53675788	28.08827962
REF_NM_172774	1416	1	14378	98.48379469	28.07318225
REF_NM_001289780	4288	1	43547	98.46832158	28.06877159
REF_NM_175263	694	1	7049	98.45368137	28.06459834
REF_NM_001291280	279	1	2836	98.37799718	28.04302427
REF_NM_001042421	7070	1	71868	98.37479824	28.0421124
REF_NM_019963	2191	1	22274	98.36580767	28.0395496
REF_NM_001162410	3358	1	34144	98.34817245	28.03452262
REF_NM_026585	5366	1	54639	98.20823954	27.99463421
REF_NM_009637	5398	1	54971	98.19723127	27.99149626
REF_NM_027250	1234	1	12567	98.19368187	27.99048449
REF_NM_019484	125	1	1273	98.1932443	27.99035976
REF_NM_001114098	11072	1	112769	98.18301129	27.9874428
REF_NM_145415	2537	1	25849	98.14693025	27.97715776
REF_NM_007953	1063	1	10832	98.1351551	27.97380121
REF_NM_026191	3806	1	38812	98.06245491	27.95307774
REF_NM_001030274	537	1	5477	98.04637575	27.94849431
REF_NM_001301651	1716	1	17506	98.02353479	27.94198341
REF_NM_026416	189	1	1929	97.97822706	27.92906827
REF_NM_024475	1564	1	15978	97.88459131	27.90237704
REF_NM_001013779	4445	1	45433	97.83637444	27.88863264
REF_NM_173762	5965	1	60978	97.82216537	27.88458229
REF_NM_010270	893	1	9129	97.82013364	27.88400314
REF_NM_022011	2350	1	24033	97.78221612	27.8731946
REF_NM_181325	2256	1	23072	97.78085992	27.87280801
REF_NM_001163006	2863	1	29300	97.71331058	27.85355281
REF_NM_173738	949	1	9713	97.7041079	27.85092955
REF_NM_007392	1469	1	15038	97.68586248	27.84572863
REF_NM_183034	4641	1	47573	97.55533601	27.80852156
REF_NM_001164676	1487	1	15246	97.53377935	27.80237675
REF_NM_027194	590	1	6050	97.52066116	27.79863736
REF_NM_144925	6963	1	71412	97.50462107	27.79406507
REF_NM_009682	4415	1	45316	97.42695737	27.77192674
REF_NM_001282095	1792	1	18394	97.42307274	27.77081941
REF_NM_027198	1380	1	14172	97.37510584	27.75714626
REF_NM_029098	1380	1	14178	97.33389759	27.74539969
REF_NM_023045	10934	1	112383	97.2922951	27.73354074
REF_NM_026392	1273	1	13085	97.28696981	27.73202275
REF_NM_009791	3824	1	39316	97.26320073	27.72524728
REF_NM_001205286	3254	1	33465	97.23591812	27.71747027
REF_NM_026067	2943	1	30269	97.22818725	27.71526655
REF_NM_001002268	13848	1	142452	97.21169236	27.71056462
REF_NM_001081431	790	1	8127	97.20684139	27.70918184
REF_NM_029862	1085	1	11164	97.18738803	27.70363658
REF_NM_001003933	5574	1	57397	97.11308953	27.68245751
REF_NM_177899	1319	1	13588	97.07094495	27.67044404
REF_NM_172692	1158	1	11937	97.00929882	27.65287157
REF_NM_001002895	190	1	1959	96.98825932	27.64687418
REF_NM_011746	247	1	2547	96.97683549	27.64361777
REF_NM_001035854	9918	1	102337	96.91509425	27.6260182
REF_NM_001038697	71	1	733	96.8622101	27.61094337
REF_NM_025699	1322	1	13649	96.85691259	27.60943329
REF_NM_022885	2980	1	30780	96.81611436	27.5978036
REF_NM_025649	597	1	6167	96.80557808	27.59480019
REF_NM_010022	3569	1	36903	96.71300436	27.5684117
REF_NM_175290	2764	1	28606	96.62308607	27.54278015
REF_NM_001081340	8311	1	86037	96.59797529	27.53562222
REF_NM_001205101	700	1	7249	96.56504345	27.52623488
REF_NM_022992	2175	1	22524	96.56366542	27.52584207
REF_NM_146215	630	1	6530	96.47779479	27.50136431
REF_NM_016925	4853	1	50333	96.41785707	27.48427884
REF_NM_001082414	4442	1	46088	96.38083666	27.47372603
REF_NM_026615	1696	1	17608	96.31985461	27.45634286
REF_NM_027481	2806	1	29141	96.29044988	27.44796093
REF_NM_007958	7065	1	73383	96.27570418	27.44375761
REF_NM_031256	2119	1	22021	96.22632941	27.42968315
REF_NM_144954	2376	1	24697	96.20601693	27.42389299
REF_NM_027184	3662	1	38093	96.13314782	27.40312138
REF_NM_028810	1795	1	18673	96.12809939	27.4016823
REF_NR_028421	309	1	3215	96.11197512	27.39708602
REF_NR_104381	2741	1	28542	96.03391493	27.37483466
REF_NM_198617	295	1	3072	96.02864583	27.37333269
REF_NM_010046	941	1	9804	95.98123215	27.35981723
REF_NM_023053	2699	1	28123	95.97126907	27.35697722
REF_NM_011755	1510	1	15738	95.94611768	27.34980772
REF_NM_001033191	971	1	10122	95.92965817	27.34511587
REF_NM_001243903	1340	1	13988	95.79639691	27.30712924
REF_NM_001169114	2451	1	25598	95.74966794	27.29380897
REF_NM_028638	15949	1	166722	95.66224014	27.26888734
REF_NM_026913	1102	1	11522	95.64311751	27.26343636
REF_NM_001029856	4435	1	46392	95.59837903	27.25068349
REF_NM_028207	1304	1	13648	95.54513482	27.23550602
REF_NM_009896	165	1	1728	95.48611111	27.21868109
REF_NM_001033484	3722	1	38998	95.44079184	27.20576266
REF_NM_153776	345	1	3620	95.3038674	27.16673182
REF_NM_020581	636	1	6676	95.26662672	27.15611622
REF_NM_172635	3115	1	32698	95.26576549	27.15587073
REF_NM_145512	1913	1	20093	95.20728612	27.13920096
REF_NM_001164482	1192	1	12523	95.18485986	27.13280827
REF_NM_009028	96	1	1009	95.14370664	27.12107739
REF_NM_001024920	492	1	5175	95.07246377	27.10076933
REF_NM_026432	1548	1	16285	95.05680074	27.09630453
REF_NM_138677	2919	1	30716	95.0319052	27.08920796
REF_NM_001252396	1341	1	14115	95.0053135	27.08162789
REF_NM_177298	4685	1	49314	95.0034473	27.08109592
REF_NM_025510	1400	1	14739	94.98609132	27.07614854
REF_NM_026921	1365	1	14375	94.95652174	27.06771961
REF_NM_027166	1376	1	14492	94.94893734	27.06555765
REF_NM_017401	964	1	10157	94.90991434	27.054434
REF_NM_001033872	1480	1	15601	94.86571374	27.04183444
REF_NM_153582	4516	1	47615	94.84406175	27.03566246
REF_NM_138675	1431	1	15093	94.81216458	27.02657005
REF_NM_001168516	638	1	6730	94.79940565	27.02293307
REF_NM_001033606	4728	1	49919	94.71343577	26.99842703
REF_NM_029875	1201	1	12681	94.70861919	26.99705404
REF_NM_011172	1654	1	17465	94.7036931	26.99564984
REF_NM_001038993	3982	1	42072	94.64727134	26.97956661
REF_NM_009453	2198	1	23224	94.64347227	26.97848367
REF_NM_198019	2764	1	29217	94.60245747	26.96679224
REF_NM_172689	3409	1	36049	94.56572998	26.95632293
REF_NM_172898	922	1	9750	94.56410256	26.95585903
REF_NM_001290429	438	1	4633	94.53917548	26.94875347
REF_NM_015817	696	1	7364	94.51385117	26.94153467
REF_NM_009533	8271	1	87533	94.49007803	26.93475805
REF_NM_021550	412	1	4361	94.47374455	26.93010213
REF_NM_028015	3488	1	36924	94.46430506	26.92741137
REF_NM_172769	956	1	10124	94.42907942	26.91737016
REF_NM_019980	3192	1	33849	94.30116104	26.88090654
REF_NM_001081182	2249	1	23852	94.28978702	26.87766433
REF_NM_001162924	1158	1	12282	94.28431851	26.87610551
REF_NM_001252347	899	1	9537	94.26444375	26.87044013
REF_NM_178632	4529	1	48055	94.24617626	26.86523292
REF_NR_015479	1529	1	16226	94.23148034	26.86104379
REF_NM_001100452	3137	1	33298	94.20986245	26.85488153
REF_NM_172711	1670	1	17729	94.19595014	26.85091577
REF_NM_027213	2015	1	21395	94.18088338	26.84662093
REF_NM_026741	306	1	3250	94.15384615	26.83891387
REF_NM_145145	1724	1	18323	94.08939584	26.82054206
REF_NM_001282073	3912	1	41608	94.0203807	26.80086903
REF_NM_001253381	985	1	10477	94.01546244	26.79946706
REF_NM_001080968	1849	1	19669	94.00579592	26.79671158
REF_NM_013836	9730	1	103510	94.00057965	26.79522467
REF_NM_001287164	8532	1	90767	93.99892031	26.79475166
REF_NM_001081065	628	1	6681	93.99790451	26.79446211
REF_NM_025377	1289	1	13714	93.99154149	26.7926483
REF_NM_011122	2540	1	27024	93.99052694	26.7923591
REF_NM_176972	10224	1	108777	93.99045754	26.79233932
REF_NM_001013380	2384	1	25374	93.95444155	26.78207282
REF_NM_001005426	3270	1	34820	93.91154509	26.76984502
REF_NR_122117	1665	1	17732	93.89803745	26.76599462
REF_NM_030141	1240	1	13206	93.89671362	26.76561726
REF_NM_001145778	1479	1	15752	93.892839	26.76451278
REF_NM_172457	1555	1	16568	93.8556253	26.75390487
REF_NM_001081441	1728	1	18412	93.85183576	26.75282465
REF_NM_001081001	4459	1	47526	93.82232883	26.74441359
REF_NM_007599	1744	1	18593	93.79874146	26.73768992
REF_NM_001013379	2014	1	21494	93.7005676	26.70970508
REF_NM_008650	2558	1	27305	93.68247574	26.70454793
REF_NM_010191	3225	1	34428	93.67375392	26.70206174
REF_NM_007397	3744	1	39971	93.66790923	26.70039569
REF_NM_175141	1756	1	18758	93.61339162	26.68485524
REF_NM_001164325	7924	1	84704	93.5493011	26.66658599
REF_NM_026390	3291	1	35197	93.50228713	26.65318448
REF_NM_001161845	11005	1	117719	93.48533372	26.64835184
REF_NM_030145	1522	1	16285	93.46023948	26.64119864
REF_NM_153059	1480	1	15843	93.41665089	26.62877354
REF_NM_028521	694	1	7432	93.37997847	26.61831993
REF_NM_001205156	4242	1	45461	93.31074987	26.59858605
REF_NM_001198635	12375	1	132671	93.27584777	26.58863707
REF_NM_029832	985	1	10563	93.25002367	26.58127581
REF_NM_013594	1342	1	14397	93.213864	26.57096836
REF_NM_024273	2312	1	24823	93.13942714	26.54974985
REF_NM_078479	742	1	7968	93.12248996	26.54492184
REF_NM_001081114	1547	1	16615	93.10863677	26.54097294
REF_NM_027512	487	1	5231	93.09883387	26.53817858
REF_NM_001081090	4717	1	50678	93.07786416	26.53220109
REF_NM_023524	894	1	9606	93.06683323	26.52905668
REF_NM_013659	3692	1	39684	93.03497631	26.51997574
REF_NM_026661	1990	1	21397	93.00369211	26.51105806
REF_NM_027453	1794	1	19290	93.00155521	26.51044893
REF_NM_026177	2281	1	24584	92.7839245	26.44841246
REF_NM_001045482	797	1	8590	92.78230501	26.44795082
REF_NM_172560	2261	1	24378	92.74755927	26.43804642
REF_NM_001290689	1870	1	20163	92.7441353	26.4370704
REF_NM_009456	4587	1	49478	92.70787016	26.42673288
REF_NM_019836	1475	1	15918	92.66239477	26.41376995
REF_NM_001195023	5363	1	57903	92.6204169	26.401804
REF_NM_001025373	2946	1	31808	92.61820926	26.4011747
REF_NM_144793	1289	1	13921	92.59392285	26.39425177
REF_NM_027346	695	1	7506	92.59259259	26.39387257
REF_NM_018743	3287	1	35508	92.5706883	26.38762867
REF_NM_016843	11798	1	127456	92.56527743	26.38608628
REF_NM_027914	283	1	3058	92.5441465	26.38006283
REF_NM_008929	4048	1	43771	92.48132325	26.36215482
REF_NM_001166640	3573	1	38644	92.45937274	26.35589774
REF_NM_001144855	3342	1	36146	92.4583633	26.35561
REF_NM_172562	4682	1	50649	92.44012715	26.35041171
REF_NM_133672	2953	1	31963	92.38807371	26.33557368
REF_NM_010950	2160	1	23390	92.3471569	26.32391019
REF_NM_016794	503	1	5447	92.34440977	26.32312711
REF_NM_001177798	1114	1	12064	92.34084881	26.32211204
REF_NM_009862	2911	1	31526	92.33648417	26.32086789
REF_NM_011914	3516	1	38079	92.33435752	26.32026168
REF_NR_015555	1658	1	17964	92.29570252	26.30924292
REF_NM_145501	2932	1	31784	92.24767178	26.29555158
REF_NM_010153	1857	1	20134	92.2320453	26.29109719
REF_NM_001033136	1847	1	20037	92.17946798	26.27610982
REF_NM_007997	824	1	8945	92.11850196	26.25873122
REF_NM_001290563	1714	1	18608	92.11092003	26.25656997
REF_NM_172371	387	1	4203	92.07708779	26.24692596
REF_NM_001025296	1520	1	16512	92.05426357	26.24041982
REF_NM_001166390	3279	1	35622	92.04985683	26.23916367
REF_NM_138306	2828	1	30742	91.9914124	26.22250386
REF_NM_027379	5247	1	57055	91.96389449	26.21465977
REF_NM_026826	525	1	5709	91.96006306	26.21356761
REF_NM_001037940	4650	1	50581	91.93175303	26.20549773
REF_NM_026210	1442	1	15695	91.87639376	26.18971735
REF_NM_028221	2457	1	26786	91.72702158	26.14713824
REF_NM_001290987	3492	1	38137	91.56462228	26.1008457
REF_NM_133837	4638	1	50667	91.53887145	26.09350533
REF_NM_207223	1407	1	15377	91.50029264	26.08250829
REF_NM_175307	714	1	7808	91.44467213	26.06665345
REF_NM_028314	3150	1	34450	91.43686502	26.06442801
REF_NM_172594	3785	1	41395	91.43616379	26.06422812
REF_NM_172652	3055	1	33452	91.32488342	26.03250722
REF_NM_033524	5589	1	61207	91.3130851	26.02914407
REF_NM_146203	288	1	3155	91.2836767	26.02076109
REF_NM_009748	915	1	10024	91.28092578	26.01997693
REF_NM_203507	1750	1	19193	91.1790757	25.99094418
REF_NM_001040395	3577	1	39245	91.14536884	25.98133591
REF_NM_001289595	2916	1	32002	91.11930504	25.97390632
REF_NM_080635	7186	1	78899	91.07846741	25.9622654
REF_NM_009418	6285	1	69007	91.07771675	25.96205142
REF_NR_045820	818	1	8988	91.01023587	25.94281574
REF_NM_011522	442	1	4858	90.98394401	25.93532114
REF_NM_001271583	515	1	5661	90.97332627	25.93229451
REF_NM_018793	2474	1	27208	90.92913849	25.91969862
REF_NM_178198	39	1	429	90.90909091	25.91398398
REF_NM_024480	1547	1	17022	90.8823875	25.90637207
REF_NM_025647	2418	1	26616	90.84761046	25.89645874
REF_NM_172582	1074	1	11829	90.79381182	25.88112323
REF_NM_183263	625	1	6887	90.75068971	25.86883111
REF_NM_026081	5514	1	60777	90.72510983	25.86153947
REF_NM_030729	906	1	9987	90.71793331	25.85949378
REF_NM_013469	4048	1	44650	90.66069429	25.84317757
REF_NM_001199203	11785	1	129992	90.6594252	25.84281581
REF_NM_001243908	752	1	8297	90.63516934	25.83590159
REF_NM_007866	746	1	8231	90.63297291	25.83527549
REF_NM_015772	1585	1	17494	90.60249228	25.82658687
REF_NM_001168515	4568	1	50437	90.56843191	25.81687783
REF_NM_001136058	4535	1	50106	90.50812278	25.79968648
REF_NM_016978	1712	1	18924	90.46713168	25.78800181
REF_NM_024452	7192	1	79558	90.399457	25.76871088
