Start	Stop	Gene	ESC_WT.bam
50942837	50949057	REP_L1Md_A	11
50966100	50970915	REP_L1Md_F2	1
50980835	50984359	REP_L1_Mur3	0
51020266	51022878	REP_L1Md_F2	0
51024373	51028119	REP_L1_Mur2	0
51041631	51043700	REP_Lx3B	0
51049570	51053850	REP_RMER16-int	0
51056628	51060718	REP_L1VL1	0
51062791	51068436	REP_L1Md_A	7
51070294	51082435	REP_L1Md_F2	0
51083676	51086919	REP_Lx3_Mus	0
51086922	51091173	REP_MusHAL1	0
51102515	51104924	REP_L1VL1	0
51105429	51107812	REP_MERVL_2A-int	0
51146130	51149795	REP_L1VL2	0
51156436	51162879	REP_MERVL-int	6
51164415	51170723	REP_L1Md_F2	0
51171602	51173826	REP_L1VL1	0
51186515	51188542	REP_Lx4A	0
51189931	51196138	REP_L1Md_T	4
51217895	51224440	REP_L1Md_F2	3
51233822	51236885	REP_Lx2B	0
51237313	51239821	REP_Lx7	0
51248114	51250488	REP_MuRRS4-int	1
51261381	51267591	REP_L1Md_F3	1
51296171	51302479	REP_L1Md_T	3
51321013	51327314	REP_L1Md_F2	0
51354905	51357493	REP_Lx2	0
51366958	51369193	REP_Lx6	0
51419236	51421975	REP_L1_Mm	0
51458962	51461996	REP_Lx6	0
51461999	51470333	REP_L1Md_T	5
51470336	51472785	REP_L1_Mur3	0
51502153	51504622	REP_L1VL4	0
51504626	51507411	REP_Lx	0
51516563	51522500	REP_Lx2	0
51522895	51525257	REP_L1_Mus2	0
51526054	51529800	REP_Lx7	0
51530189	51533559	REP_RLTR13D3	0
51537581	51540494	REP_L1VL4	1
51568328	51571352	REP_Lx7	0
51571683	51573774	REP_L1_Mus1	0
51591324	51594613	REP_L1VL4	0
51594616	51600756	REP_L1Md_F2	0
51600783	51608293	REP_IAPEz-int	19
51611097	51613146	REP_L1MD1	0
51616414	51619576	REP_Lx2B	0
51619640	51625809	REP_L1_Mus3	0
51697476	51699506	REP_L1_Mur3	0
51704861	51711309	REP_L1Md_T	11
51712539	51719150	REP_L1Md_A	11
51722688	51728680	REP_L1_Mus1	0
51772332	51778728	REP_MERVL-int	10
51827983	51835075	REP_L1Md_T	9
51854417	51861684	REP_L1Md_A	12
51868332	51872971	REP_L1_Mus4	0
51925557	51932016	REP_MERVL-int	8
52164943	52171199	REP_L1Md_F2	0
52175212	52178071	REP_L1Md_F2	1
52206473	52210112	REP_ORR1D1-int	0
52213091	52224111	REP_L1Md_T	14
52230209	52233059	REP_ORR1A2-int	0
52240955	52247332	REP_L1Md_T	3
52268428	52281875	REP_L1Md_F2	2
52287946	52291417	REP_L1Md_F	2
52300139	52308136	REP_L1Md_A	3
52316810	52320832	REP_L1Md_F2	0
52320840	52329618	REP_L1Md_F2	0
52330667	52333405	REP_L1_Mur3	0
52333424	52340084	REP_L1Md_F2	0
52348631	52355219	REP_L1Md_F2	1
52355222	52362834	REP_Lx7	0
52368485	52374955	REP_L1Md_A	9
52383490	52389136	REP_L1VL4	0
52393785	52397952	REP_L1Md_F2	0
52480780	52487006	REP_L1Md_T	27
52501826	52504167	REP_L1Md_F2	0
52664733	52671192	REP_L1Md_T	12
52679948	52682000	REP_L1Md_F2	0
52688605	52693288	REP_L1_Mus3	0
52737134	52739178	REP_ORR1C2-int	0
52770383	52774189	REP_Lx7	0
52774249	52778253	REP_L1VL2	0
52789673	52792417	REP_Lx4A	0
52799035	52801071	REP_L1Md_F2	0
52855278	52862842	REP_Lx2	1
52903129	52906173	REP_L1VL4	0
52910922	52914352	REP_L1Md_F	0
52915081	52921726	REP_L1Md_F2	0
52927355	52929492	REP_RNERVK23-int	0
52941674	52947228	REP_L1VL4	0
52955726	52958475	REP_L1Md_F2	0
52965177	52972447	REP_L1Md_T	3
53006791	53009664	REP_L1Md_F2	1
53029172	53031792	REP_L1MA4	0
53212106	53218689	REP_MMERGLN-int	1
53289292	53296806	REP_MERVL-int	3
53304924	53307765	REP_Lx7	0
53308740	53311296	REP_RLTR28	0
53386123	53392168	REP_L1Md_T	27
53453237	53455743	REP_L1MEf	0
53476165	53478181	REP_RMER17D2	0
53500050	53508516	REP_L1Md_T	0
53509595	53512845	REP_MuRRS4-int	0
53523629	53526630	REP_L1_Mus3	1
53533457	53538775	REP_Lx3C	0
53543535	53546303	REP_L1_Mur3	0
53547951	53560838	REP_L1Md_F2	5
53573984	53577402	REP_Lx7	0
53602151	53604488	REP_L1Md_A	0
53613443	53620586	REP_L1Md_A	10
53854968	53858486	REP_Lx3_Mus	0
53861969	53868765	REP_L1Md_A	19
53910326	53912680	REP_Lx2	0
53930795	53937197	REP_L1Md_F3	0
53937199	53942776	REP_L1_Mm	1
53951475	53953535	REP_Lx9	1
53971854	53974052	REP_L1_Mus1	0
53976598	53981784	REP_L1Md_F	1
54000196	54002404	REP_Lx3A	0
54011970	54015687	REP_Lx7	0
54029110	54031137	REP_L1_Mus3	0
54038302	54043686	REP_L1Md_F2	0
54113586	54120811	REP_Lx7	2
54180788	54185221	REP_L1Md_F	1
54210482	54219681	REP_L1Md_A	0
54247120	54254818	REP_IAPEY3-int	0
54257592	54263533	REP_L1Md_F2	0
54287555	54293535	REP_L1Md_F2	0
54295714	54299259	REP_RLTR44-int	0
54300349	54307388	REP_L1Md_F2	1
54308254	54313314	REP_IAPEz-int	11
54329669	54333147	REP_L1VL1	1
54333152	54340454	REP_L1Md_T	19
54342924	54346031	REP_MusHAL1	0
54378413	54380602	REP_Lx6	0
54395938	54398553	REP_L1_Mus2	0
54409601	54421970	REP_MMETn-int	1304
54529168	54531345	REP_Lx3_Mus	0
54541769	54545873	REP_L1Md_F2	1
54572674	54574816	REP_Lx3A	0
54579939	54582088	REP_Lx7	0
54584358	54590369	REP_L1_Mus4	0
54602280	54605624	REP_L1Md_F	0
54607983	54610860	REP_IAPEy-int	0
54615653	54617796	REP_Lx	0
54621528	54628316	REP_L1Md_T	11
54631747	54634034	REP_L1Md_F2	0
54635435	54642133	REP_L1_Mus4	0
54684778	54687217	REP_L1Md_F3	5
54724255	54733435	REP_L1Md_A	4
54733450	54743252	REP_L1Md_F2	0
54748580	54750610	REP_Lx	0
54780499	54787838	REP_Lx3A	1
54789871	54795088	REP_L1_Mus1	1
54800118	54802136	REP_RLTR10-int	2
54812568	54816157	REP_L1VL4	0
54838628	54843971	REP_Lx	2
54880938	54883775	REP_L1Md_T	3
54889927	54896096	REP_L1Md_F2	0
54902451	54906059	REP_L1_Mus2	0
54909086	54911525	REP_ORR1A1-int	0
54943893	54950726	REP_L1_Mus1	0
54996882	55002813	REP_L1Md_F	1
55056076	55062891	REP_L1_Mur3	0
55084020	55088073	REP_L1_Mm	0
55098654	55105180	REP_L1_Mus1	1
55121539	55128052	REP_L1_Mus2	2
55152162	55155838	REP_L1_Mur2	0
55195081	55201657	REP_L1_Mus4	0
55203639	55205876	REP_L1Md_T	4
55208822	55210984	REP_ORR1C2-int	1
55217763	55224627	REP_L1Md_T	20
55261435	55263441	REP_L1Md_A	1
55280510	55282578	REP_L1_Mur2	0
55294642	55300904	REP_L1Md_T	20
55304647	55307779	REP_L1_Mus3	0
55321498	55328048	REP_L1_Mus2	0
55338976	55341312	REP_MTC-int	0
55348156	55356311	REP_RLTR6-int	1
55372972	55379393	REP_L1Md_T	2
55383918	55390164	REP_L1Md_F2	0
55435696	55440642	REP_IAPEz-int	56
55453638	55459805	REP_L1Md_T	1
55464565	55470928	REP_L1Md_A	2
55476411	55483405	REP_L1Md_F2	0
55496072	55499998	REP_L1VL2	0
55500000	55502824	REP_L1_Mus3	0
55561492	55567751	REP_L1Md_T	9
55614340	55620601	REP_L1Md_T	13
55624254	55630464	REP_L1_Mm	2
55658543	55662690	REP_L1_Mur1	1
55677532	55681264	REP_L1VL4	0
55687037	55689631	REP_L1_Mur3	0
55750892	55757372	REP_L1Md_T	19
55852593	55856220	REP_L1Md_F2	2
55857938	55864180	REP_L1Md_A	5
55932389	55934552	REP_L1_Mus4	2
55950444	55953527	REP_L1_Mus1	0
55954273	55956439	REP_L1_Mur2	2
55956451	55958676	REP_L1_Mus1	0
55970275	55976919	REP_L1Md_T	27
55986200	55991383	REP_L1_Mm	14
55991615	55996093	REP_L1Md_A	4
56006025	56014463	REP_L1Md_T	21
56026349	56030307	REP_L1Md_F	1
56032382	56034497	REP_L1VL2	1
56043588	56046657	REP_Lx7	0
56126937	56132885	REP_Lx7	3
56185681	56187684	REP_Lx4A	0
56229502	56235759	REP_L1Md_F2	2
56295817	56299002	REP_L1_Mm	8
56338074	56344228	REP_L1Md_F2	4
56345321	56350925	REP_Lx3C	0
56365632	56371779	REP_L1Md_F2	0
56371897	56375554	REP_L1_Mur1	0
56420782	56427971	REP_L1Md_A	10
56440556	56447679	REP_IAPEz-int	16
56499559	56502154	REP_L1_Mm	0
56536305	56538481	REP_L1Md_T	1
56545138	56548611	REP_Lx2B	0
56613852	56617084	REP_L1Md_T	3
56743271	56749666	REP_L1Md_T	9
56769579	56774487	REP_L1_Mur2	0
56792811	56796961	REP_L1Md_T	3
56818135	56825485	REP_L1Md_T	6
56825491	56830033	REP_L1MA5	1
56857507	56864585	REP_IAPEz-int	24
56869418	56871630	REP_Lx4B	0
56904577	56909766	REP_Lx5	0
56931126	56933898	REP_L1_Mur1	0
56933905	56937057	REP_L1_Mus3	0
56958665	56969835	REP_L1Md_A	12
56974802	56980911	REP_L1Md_F2	0
56987732	56991153	REP_Lx3_Mus	0
56992175	56996550	REP_MusHAL1	0
57046739	57053805	REP_L1Md_T	24
57054716	57061694	REP_L1_Mus1	0
57068830	57073166	REP_Lx7	0
57082772	57086144	REP_Lx2	0
57091497	57094195	REP_L1VL2	0
57095773	57098166	REP_Lx3B	1
57113210	57119244	REP_L1_Mur1	0
57121700	57123772	REP_L1_Mus1	1
57145562	57151749	REP_L1Md_F2	0
57169723	57176494	REP_L1Md_T	8
57176499	57181925	REP_Lx2B	0
57186567	57188605	REP_RMER17D	0
57239913	57242658	REP_L1_Mur2	76
57263665	57266200	REP_L1VL2	0
57298740	57302304	REP_L1Md_F2	4
57398322	57404671	REP_L1Md_A	11
57436748	57440962	REP_L1_Mus4	0
57476004	57478265	REP_L1VL1	0
57486444	57493081	REP_L1Md_T	22
57564239	57566627	REP_MYSERV16_I-int	1
57571845	57576682	REP_MuRRS-int	1
57576692	57581406	REP_L1Md_F2	0
57669705	57672327	REP_MERVL_2A-int	0
57680729	57683369	REP_L1_Mur3	0
57708645	57711548	REP_L1Md_F2	1
57726853	57728904	REP_L1_Mur3	1
57780169	57783094	REP_Lx3B	0
57981227	57985935	REP_L1Md_F2	2
57994936	57997122	REP_ETnERV2-int	105
58028903	58034868	REP_L1Md_F2	9
58040152	58046212	REP_Lx	6
58158165	58161778	REP_Lx7	1
58178319	58181919	REP_L1_Mur3	2
58181921	58190110	REP_L1Md_F2	1
58203022	58206238	REP_Lx3C	0
58211544	58217849	REP_ORR1A3-int	0
58222731	58230273	REP_L1Md_A	17
58230275	58236087	REP_L1Md_F3	3
58237453	58243654	REP_L1Md_F2	5
58322075	58325808	REP_Lx8	0
58416793	58419675	REP_Lx8	0
58419682	58421932	REP_RMER3D-int	0
58423251	58430837	REP_L1Md_T	8
58438431	58441674	REP_L1_Rod	0
58481231	58483257	REP_L1_Rod	0
58489980	58497776	REP_L1Md_A	23
58497915	58499990	REP_Lx2B	0
58500000	58505079	REP_L1VL4	2
58664655	58666667	REP_L1_Mus1	58
58708250	58713139	REP_Lx7	1
58765425	58770460	REP_MMERVK10C-int	2
58844546	58849436	REP_IAPEz-int	348
58861515	58865203	REP_MusHAL1	1
59313182	59319673	REP_MERVL-int	8
60009354	60015801	REP_MERVL-int	5
60594225	60597276	REP_RMER3D-int	2
61000901	61003009	REP_MurERV4_19-int	0
61019372	61021845	REP_ORR1B1-int	1
61170707	61172889	REP_MTA_Mm-int	1
61252914	61255599	REP_RodERV21-int	0
61375503	61378651	REP_Lx7	1
61602328	61605132	REP_ORR1A4-int	2
61629042	61632785	REP_Lx9	0
61829989	61834989	REP_MMETn-int	619
62013284	62015535	REP_Lx7	0
62073261	62075616	REP_IAPEz-int	6
62158958	62161548	REP_Lx5	1
62162395	62164936	REP_L1_Rod	0
62196176	62199284	REP_MERVL-int	0
62371214	62374301	REP_MERVK26-int	2
62566690	62573826	REP_IAPEz-int	7
62599279	62602303	REP_L1VL2	0
62677176	62683354	REP_L1Md_T	10
62853360	62857040	REP_MMERVK10C-int	1
62910208	62916378	REP_L1Md_F3	0
62971552	62974185	REP_L1Md_A	3
62975405	62981866	REP_L1Md_T	22
63034956	63037201	REP_RMER1A	0
63103244	63106247	REP_Lx7	0
63117417	63122393	REP_Lx7	0
63125892	63132487	REP_L1Md_A	11
63180871	63186260	REP_L1Md_A	0
63186262	63193174	REP_L1Md_T	11
63193193	63197936	REP_L1Md_F2	6
63204394	63210707	REP_L1Md_T	7
63213452	63215514	REP_L1Md_F2	1
63219401	63223823	REP_L1Md_F	0
63235592	63244682	REP_L1Md_A	11
63664851	63670856	REP_L1Md_T	4
63802131	63804149	REP_L1_Mus4	0
63856638	63859300	REP_L1Md_A	0
63965499	63968007	REP_Lx5	0
63969075	63971957	REP_Lx5	0
64152692	64155416	REP_L1_Mus3	0
64215567	64217585	REP_MYSERV6-int	0
64217592	64223307	REP_L1_Mus2	0
64232238	64241754	REP_L1Md_T	4
64241771	64247185	REP_L1Md_T	13
64247191	64251510	REP_L1Md_F	6
64260116	64265553	REP_Lx9	0
64283214	64285598	REP_L1Md_T	7
64391669	64397738	REP_L1Md_F2	1
64436164	64438181	REP_Lx6	0
64439082	64441580	REP_L1_Mur1	0
64441993	64445189	REP_L1_Mur3	0
64536062	64540158	REP_L1_Mur3	0
64556972	64563285	REP_L1Md_A	6
64610083	64613136	REP_Lx3C	0
64621498	64627979	REP_L1_Mus3	0
64629014	64635377	REP_L1Md_T	26
64712781	64718078	REP_L1Md_F	0
64725617	64728145	REP_MusHAL1	0
64747634	64751182	REP_Lx3C	0
64845962	64852617	REP_L1Md_T	21
64913083	64920837	REP_L1Md_F2	1
64970874	64977700	REP_L1Md_F2	0
65031948	65038161	REP_L1Md_T	8
65052013	65055943	REP_ETnERV2-int	0
65055950	65058521	REP_L1Md_A	3
65101682	65107881	REP_IAPEz-int	3
65119745	65126396	REP_L1Md_T	27
65128509	65134700	REP_L1Md_T	2
65136844	65142990	REP_L1Md_F3	2
65165171	65167601	REP_ORR1A1-int	0
65168121	65171870	REP_L1Md_Gf	0
65257432	65261078	REP_Lx3B	0
65269967	65273144	REP_Lx	0
65273585	65279785	REP_L1Md_F	0
65286397	65292753	REP_L1Md_T	6
65336197	65338326	REP_ORR1C2-int	0
65363619	65370217	REP_L1Md_A	1
65397935	65400276	REP_L1Md_F2	0
65400793	65407547	REP_L1Md_A	10
65413514	65418936	REP_IAPEz-int	25
65459559	65465687	REP_L1Md_F3	0
65475012	65477287	REP_L1Md_F2	0
65535382	65542049	REP_L1Md_T	14
65617893	65620093	REP_L1Md_F2	0
65628802	65631050	REP_Lx3_Mus	0
65669913	65671967	REP_L1Md_A	4
65686528	65688710	REP_L1Md_F2	0
65724439	65731366	REP_L1Md_T	1
65789317	65791339	REP_L1_Mus1	0
65839062	65841685	REP_L1Md_F2	0
65871818	65875016	REP_ORR1A1-int	1
65878538	65883307	REP_L1Md_F	0
65883862	65893374	REP_L1Md_F	3
65922314	65925169	REP_RMER17A	0
65925184	65931762	REP_L1Md_T	15
65935311	65937413	REP_RMER17C-int	0
65984846	65991277	REP_L1Md_A	6
66044959	66051818	REP_L1Md_T	29
66129422	66131543	REP_L1Md_F2	0
66134654	66141041	REP_L1Md_A	1
66154354	66156459	REP_MMERVK10C-int	0
66185231	66192350	REP_IAPEz-int	12
66216611	66218768	REP_MYSERV16_I-int	0
66251233	66256505	REP_L1_Mus1	0
66270604	66273724	REP_L1Md_A	4
66423730	66426252	REP_L1Md_F2	1
66656527	66658984	REP_Lx6	1
66723012	66725971	REP_MT-int	3
67139451	67141627	REP_L1Md_A	0
67937532	67943775	REP_L1Md_F2	19
67980510	67984113	REP_L1Md_T	1
68057067	68062177	REP_L1_Mus1	0
68062188	68065574	REP_L1Md_F2	0
68223507	68233757	REP_L1Md_F2	1
68291154	68293798	REP_Lx9	0
68294934	68297752	REP_Lx9	0
68300278	68302706	REP_Lx	0
68340003	68342392	REP_ORR1A3-int	0
68492678	68495839	REP_L1Md_A	5
68513077	68519329	REP_L1Md_T	5
68522720	68528951	REP_L1Md_F2	0
68582675	68585522	REP_ORR1A1-int	2
68603501	68607228	REP_L1_Mur3	0
68659223	68665798	REP_L1Md_T	23
68692200	68698850	REP_L1Md_T	16
68986471	68988864	REP_Lx7	0
69084729	69090641	REP_L1Md_F2	0
69578000	69582306	REP_Lx7	0
69971977	69976052	REP_L1Md_F2	2
70064730	70067020	REP_Lx5	0
70067022	70069868	REP_Lx5	0
70125179	70131391	REP_L1Md_F2	2
70247600	70250915	REP_L1Md_A	0
70254132	70260932	REP_IAPEz-int	45
70302303	70304328	REP_ETnERV2-int	21
70342058	70349837	REP_L1Md_T	15
70349846	70353521	REP_L1Md_A	3
70371430	70374485	REP_L1M2	0
70475479	70481916	REP_MERVL-int	3
70914679	70916906	REP_MTA_Mm-int	2
70972282	70978647	REP_L1Md_A	8
71013732	71016459	REP_L1Md_A	0
71022252	71028581	REP_L1Md_A	2
71035651	71046990	REP_L1Md_T	12
71047846	71054732	REP_L1Md_T	26
71077657	71079719	REP_L1Md_F2	0
71081707	71084508	REP_Lx5	0
71088356	71100717	REP_L1Md_A	7
71100819	71103069	REP_L1_Mus1	0
71154152	71161765	REP_IAPEz-int	12
71281127	71287702	REP_L1Md_A	11
71303896	71310074	REP_L1Md_T	3
71312342	71318577	REP_L1Md_T	4
71396754	71398826	REP_ORR1A1-int	1
71469952	71477395	REP_L1Md_A	7
71506715	71511840	REP_L1Md_F2	0
71524094	71530203	REP_L1Md_F2	0
71582315	71584723	REP_L1Md_F2	0
71597103	71603991	REP_L1Md_F3	1
71611390	71613826	REP_Lx4A	0
71616046	71618516	REP_ORR1A0-int	1
71631853	71638382	REP_L1Md_F3	1
71657508	71661144	REP_L1Md_F3	1
71673105	71675159	REP_MERVL-int	0
71700426	71703410	REP_L1Md_T	4
71712752	71718946	REP_L1Md_T	5
71762517	71765108	REP_L1Md_F2	0
71919825	71926200	REP_L1Md_A	9
71955572	71962002	REP_L1Md_T	4
71963092	71965463	REP_L1_Mus2	1
72003014	72005149	REP_ORR1A1-int	0
72153605	72160350	REP_Lx2B	7
72164984	72170564	REP_MMERVK10C-int	4
72192210	72198568	REP_L1_Mus1	4
72288406	72291677	REP_MurERV4_19-int	0
72394538	72401238	REP_L1Md_T	9
72424321	72430459	REP_L1Md_F2	1
72594777	72597508	REP_L1VL4	0
72655991	72658102	REP_L1Md_T	8
72666248	72668983	REP_L1Md_F2	1
72682646	72685126	REP_L1Md_T	1
72731916	72735214	REP_L1Md_F2	0
72751145	72756558	REP_L1Md_T	4
72821541	72825813	REP_Lx5	0
72900268	72907104	REP_L1Md_T	15
72932649	72936358	REP_L1Md_F2	0
73039102	73045874	REP_L1Md_A	11
73058548	73064955	REP_L1Md_A	6
73123976	73128005	REP_L1Md_F	0
73137323	73145119	REP_L1Md_F2	0
73227588	73234329	REP_L1Md_T	16
73274755	73279735	REP_L1_Mur3	0
73343265	73349460	REP_L1Md_F2	1
73451825	73453859	REP_Lx	0
73469432	73471525	REP_L1_Mus2	0
73481907	73484492	REP_Lx7	0
73488112	73490313	REP_Lx5	1
73531232	73533249	REP_Lx3_Mus	0
73556853	73560019	REP_Lx7	0
73598975	73605260	REP_L1Md_T	13
73615524	73621918	REP_L1Md_T	5
73702923	73705839	REP_Lx6	0
73706083	73712487	REP_L1Md_A	5
73735467	73741434	REP_L1Md_F2	0
73805774	73811985	REP_L1Md_T	19
73832711	73834884	REP_Lx3_Mus	0
73882828	73888667	REP_L1_Mus1	0
73896061	73902423	REP_L1Md_T	25
73990019	73993671	REP_L1_Mur1	0
73993725	73996277	REP_Lx	0
74020954	74028448	REP_Lx9	0
74076202	74082625	REP_L1Md_F2	0
74118419	74124426	REP_L1Md_A	6
74131723	74138460	REP_L1Md_F2	2
74152796	74154824	REP_L1Md_F2	1
74178304	74181870	REP_RLTR1B-int	3326
74194503	74198222	REP_L1Md_F2	1
74198315	74202911	REP_L1Md_F3	0
74202917	74208329	REP_L1Md_T	3
74230792	74237373	REP_L1Md_A	21
74248411	74250583	REP_L1_Mus1	0
74272651	74277594	REP_Lx3C	0
74293906	74296621	REP_L1Md_F	0
74320178	74323289	REP_L1Md_T	3
74331303	74334033	REP_Lx	0
74338467	74341802	REP_IAPEz-int	2
74543299	74545395	REP_Lx7	0
74656352	74659931	REP_L1M2	1
74861713	74864109	REP_L1_Mur3	11
75008234	75010380	REP_L1Md_F2	0
75444315	75447957	REP_L1Md_T	7
75473766	75476072	REP_Lx5	0
75515293	75520772	REP_ETnERV2-int	12
75590160	75592430	REP_Lx7	2
75621651	75623915	REP_Lx7	0
75635401	75637579	REP_L1_Mur3	0
75653974	75660643	REP_Lx2	0
75857346	75859347	REP_RMER3D-int	1
75981607	75988722	REP_L1Md_F2	7
76119027	76123521	REP_Lx7	0
76202069	76205167	REP_L1_Mur3	0
76208134	76212581	REP_Lx6	1
76376919	76378997	REP_L1_Rod	0
76379043	76381232	REP_Lx9	0
76807274	76812765	REP_L1Md_F2	1
77039155	77042006	REP_ORR1A4-int	1
77267306	77269975	REP_ORR1A0-int	0
77294863	77297160	REP_Lx7	0
77413476	77420276	REP_IAPEz-int	51
77482970	77487964	REP_IAPEz-int	48
77583540	77586222	REP_MMVL30-int	11
77996220	77998503	REP_L1_Mur2	0
78012076	78016327	REP_L1Md_F2	2
78021631	78025293	REP_L1_Mur2	0
78070765	78073681	REP_L1VL4	0
78082012	78087776	REP_Lx	0
78099784	78106008	REP_L1Md_F2	1
78107888	78110221	REP_Lx3A	0
78113015	78119485	REP_L1Md_A	3
78127453	78129764	REP_RodERV21-int	0
78135510	78141628	REP_Lx3_Mus	0
78157046	78162821	REP_L1Md_F2	0
78195951	78198534	REP_L1Md_T	3
78228852	78231066	REP_MusHAL1	3
78266251	78273102	REP_L1Md_T	31
78279215	78285797	REP_IAPEz-int	3
78291812	78294116	REP_L1_Mur1	0
78300195	78305932	REP_L1VL2	0
78315695	78322068	REP_L1Md_A	1
78322662	78330763	REP_RLTR6-int	0
78330765	78333683	REP_L1_Mur2	0
78335007	78337078	REP_MusHAL1	0
78350442	78354582	REP_L1Md_F2	0
78354584	78363823	REP_L1Md_T	6
78363879	78370572	REP_L1Md_F2	0
78372557	78374858	REP_Lx4A	0
78388035	78395278	REP_L1Md_F2	2
78396331	78400095	REP_L1_Mur2	0
78403281	78409710	REP_L1Md_T	20
78409860	78412884	REP_Lx4A	0
78435861	78442711	REP_Lx2	2
78453160	78455759	REP_Lx2B	0
78456232	78463957	REP_L1Md_F3	0
78465192	78467735	REP_L1Md_T	1
78469526	78472946	REP_L1VL4	0
78486034	78491014	REP_Lx2A1	0
78501345	78506845	REP_Lx2	47
78506847	78509377	REP_L1_Mus3	18
78509380	78514423	REP_L1Md_F2	33
78516114	78520121	REP_Lx5	33
78535026	78540307	REP_L1_Mur3	0
78542538	78549212	REP_L1Md_A	7
78579550	78581766	REP_ORR1A2-int	0
78583403	78589869	REP_Lx4B	0
78589871	78597411	REP_Lx	1
78597439	78600744	REP_MERVK26-int	0
78600756	78603302	REP_Lx	0
78604142	78609124	REP_L1VL4	0
78613938	78617746	REP_Lx2B	0
78617749	78622825	REP_L1_Mur2	0
78626158	78629464	REP_L1VL2	0
78636000	78642282	REP_L1Md_F2	0
78646739	78652418	REP_Lx4B	0
78653917	78656142	REP_L1_Mus2	0
78657788	78666201	REP_L1_Mus1	0
78666435	78675642	REP_MERVL-int	4
78678193	78682969	REP_L1VL1	1
78683725	78686130	REP_L1Md_F	0
78701043	78708783	REP_L1_Mus1	1
78714401	78716821	REP_Lx3C	0
78716867	78723594	REP_Lx5	0
78739283	78748471	REP_L1Md_F2	2
78752073	78755073	REP_L1Md_F2	0
78760945	78763539	REP_Lx2	0
78767010	78770743	REP_L1Md_F2	0
78774548	78777000	REP_L1Md_F2	0
78777006	78784707	REP_IAPEY3-int	18
78788122	78793757	REP_L1Md_F2	1
78793796	78800364	REP_L1Md_A	5
78806377	78812326	REP_L1Md_F2	0
78821889	78825543	REP_Lx2B	0
78825597	78830560	REP_Lx5	0
78830996	78837107	REP_L1Md_F2	1
78844780	78847400	REP_Lx4B	0
78851121	78856589	REP_Lx4B	0
78860638	78864709	REP_L1Md_A	0
78864716	78868924	REP_L1Md_F3	0
78872795	78882823	REP_IAPLTR3-int	5
78883339	78889321	REP_MuRRS4-int	6
78889334	78893832	REP_L1_Mur1	3
78898042	78905223	REP_L1Md_F2	0
78905230	78912016	REP_L1Md_A	9
78912116	78916618	REP_L1Md_F2	0
78917635	78929180	REP_L1Md_T	2
78936231	78938596	REP_L1Md_F3	2
78945781	78951247	REP_L1_Mur2	0
78956010	78960336	REP_Lx3A	8
78964808	78968737	REP_MMERGLN-int	24
78970647	78981103	REP_Lx	36
78984497	78987193	REP_Lx5	5
79025894	79031185	REP_Lx2B	11
79051454	79054747	REP_ORR1D1-int	0
79113003	79115240	REP_MTB	0
80439158	80443793	REP_IAPEz-int	7
81124421	81127139	REP_MurSatRep1	171
81133652	81140514	REP_IAPEz-int	10
81158786	81161397	REP_MurSatRep1	71
81163232	81165805	REP_MurERV4-int	0
81175167	81177282	REP_ORR1A2-int	14
81181342	81184182	REP_MurSatRep1	182
81184926	81187184	REP_MurERV4-int	12
81193819	81200374	REP_L1Md_F2	39
81207199	81210523	REP_MurSatRep1	264
81213062	81215347	REP_ORR1A4-int	1
81245514	81251120	REP_L1Md_A	3
81253356	81256073	REP_MurSatRep1	66
81261366	81264162	REP_RLTR10-int	0
81283549	81286268	REP_MurSatRep1	177
81292780	81299642	REP_IAPEz-int	5
81317888	81320499	REP_MurSatRep1	49
81322337	81324914	REP_MurERV4-int	0
81334277	81336392	REP_ORR1A2-int	11
81340452	81343292	REP_MurSatRep1	161
81344036	81346276	REP_MurERV4-int	9
81352911	81359465	REP_L1Md_F2	39
81366289	81369613	REP_MurSatRep1	293
81372152	81374437	REP_ORR1A4-int	1
81404861	81410467	REP_L1Md_A	6
81412705	81415422	REP_MurSatRep1	81
81420712	81423504	REP_RLTR10-int	1
81430636	81437731	REP_IAPEz-int	8
81451003	81453614	REP_MurSatRep1	65
81455449	81458022	REP_MurERV4-int	0
81473594	81476832	REP_MurSatRep1	202
81477524	81479805	REP_MurERV4-int	4
81486439	81493043	REP_L1Md_F2	6
81500056	81506015	REP_MYSERV6-int	2
81513151	81516545	REP_ORR1B1-int	0
81520637	81524004	REP_MurSatRep1	309
81528830	81531690	REP_Lx3_Mus	5
81531698	81534853	REP_L1_Mur2	2
81563581	81566425	REP_ORR1A4-int	0
81566880	81569185	REP_RMER17C-int	0
81577601	81580379	REP_L1VL2	18
81595512	81599796	REP_Lx	0
81601286	81603541	REP_RLTR17	1
81616666	81619174	REP_MurERV4-int	58
81643542	81645564	REP_MTE-int	3
81649109	81652915	REP_ORR1A2-int	4
81669973	81673531	REP_MYSERV16_I-int	3
81673898	81676816	REP_L1VL2	7
81694503	81700993	REP_Lx	66
81710054	81715221	REP_L1Md_F	0
81715229	81717663	REP_L1VL4	0
81766976	81773108	REP_L1Md_F2	3
81784564	81788085	REP_RMER16-int	0
81792286	81794691	REP_RLTR14-int	0
81808763	81811343	REP_MERVL-int	1
81818159	81821859	REP_RLTR14-int	28
81822687	81824783	REP_L1_Mur2	20
81831854	81838178	REP_Lx2B	9
